query_id,ref_id,score
Q301522,R233850,0.20540544
Q302932,R237803,0.19373709
Q306255,R231984,0.18315288
Q303724,R237683,0.17881201
Q307403,R221032,0.123841256
Q301459,R210313,0.117555544
Q303862,R228838,0.10054135
Q302275,R215948,0.07502498
Q301754,R239646,0.034382075
Q307624,R204581,0.033417493
Q307815,R228879,0.030659333
Q302275,R232428,0.030653536
Q305733,R232027,0.029837802
Q307449,R222662,0.027722687
Q305768,R210313,0.027042866
Q302800,R214739,0.023576826
Q304363,R237914,0.020786539
Q307218,R240017,0.020740882
Q305743,R239699,0.019364342
Q305768,R226086,0.01838088
Q307392,R211708,0.016472787
Q307403,R205779,0.0161812
Q307132,R239587,0.015521884
Q301522,R218081,0.014958277
Q304703,R208365,0.013555601
Q306667,R239587,0.0128558725
Q306390,R226086,0.010586634
Q303607,R225999,0.009401023
Q300807,R205779,0.008235961
Q307218,R217738,0.007979929
Q307326,R239513,0.007713467
Q307326,R219371,0.007075876
Q301980,R233914,0.006858036
Q301872,R239959,0.0058321804
Q301382,R203693,0.0054641515
Q307132,R213967,0.005056411
Q304363,R232562,0.0049702525
Q302625,R226486,0.0043934733
Q302625,R217794,0.003566295
Q302800,R229839,0.0032571405
Q306667,R210253,0.0015842617
Q307392,R205779,0.0011420697
Q304703,R221400,0.0005697757
Q302158,R228807,0.00036779046
Q304367,R236874,0.00021804869
Q306255,R232453,-0.00070638955
Q302158,R239513,-0.0014137924
Q307575,R237416,-0.0016165674
Q307132,R237642,-0.0017889738
Q305743,R213873,-0.0031393766
Q300807,R221122,-0.0033410192
Q303607,R239695,-0.0039482266
Q304840,R237826,-0.004095793
Q300807,R219371,-0.0044595897
Q306667,R229839,-0.0045515597
Q301064,R211708,-0.0045607835
Q301459,R239959,-0.0060534775
Q301754,R214126,-0.0060972273
Q302275,R234271,-0.006181717
Q306390,R228886,-0.0064298064
Q305733,R230078,-0.006831929
Q307326,R229769,-0.0068634897
Q307326,R232562,-0.0071924627
Q302800,R210432,-0.007739216
Q300807,R200478,-0.00818269
Q307074,R217715,-0.00823389
Q304703,R213942,-0.0083063245
Q307815,R221075,-0.008332163
Q303862,R228807,-0.008912072
Q307815,R222662,-0.009529546
Q303724,R200478,-0.009595439
Q303862,R233914,-0.009776995
Q303607,R209256,-0.010003284
Q302158,R208365,-0.010460094
Q303724,R229769,-0.011009052
Q303607,R213873,-0.011204168
Q304703,R221019,-0.011538461
Q307403,R233141,-0.012698635
Q305768,R209256,-0.012797356
Q307218,R228886,-0.012928814
Q304367,R217715,-0.013806552
Q302275,R210313,-0.014236912
Q301754,R218137,-0.014491901
Q303607,R204658,-0.014680535
Q307403,R236897,-0.014933154
Q307624,R232529,-0.015486121
Q303862,R221075,-0.015556186
Q305733,R210253,-0.015586615
Q300598,R208365,-0.016414747
Q301382,R229924,-0.016873017
Q303202,R235585,-0.016983896
Q305153,R221400,-0.017279074
Q300807,R214651,-0.017423302
Q303202,R239801,-0.017439052
Q305153,R202117,-0.017477676
Q302800,R226486,-0.017492294
Q306255,R213967,-0.017524466
Q307815,R237725,-0.017837167
Q304840,R213942,-0.018473834
Q303724,R236017,-0.019101068
Q305743,R210253,-0.019186094
Q307449,R205779,-0.019270852
Q301754,R208365,-0.019576147
Q305768,R217715,-0.019730419
Q302932,R222767,-0.019974783
Q303724,R205913,-0.020156235
Q304703,R239699,-0.020874918
Q301749,R223862,-0.021581426
Q302275,R214639,-0.021640673
Q302158,R222662,-0.021805242
Q304840,R205913,-0.021875829
Q307815,R232428,-0.022056423
Q304367,R237642,-0.022246495
Q301382,R232095,-0.022295386
Q307598,R217794,-0.022370115
Q305743,R217690,-0.022377014
Q301980,R228818,-0.02254206
Q306667,R237683,-0.022641167
Q307815,R229839,-0.0227222
Q307403,R217794,-0.02285584
Q303607,R232453,-0.02404204
Q305733,R217690,-0.024228737
Q300807,R232983,-0.024382234
Q307247,R236897,-0.02496256
Q304703,R211137,-0.025139749
Q304703,R234336,-0.0265162
Q301382,R226463,-0.026617676
Q303862,R239699,-0.027150407
Q307218,R233141,-0.027400821
Q304367,R237522,-0.027474567
Q302932,R221118,-0.027678713
Q305733,R208365,-0.027764961
Q307132,R239959,-0.027895346
Q307815,R217690,-0.027988374
Q307815,R239959,-0.028108194
Q304367,R211747,-0.028143764
Q304840,R231984,-0.028266758
Q302275,R232095,-0.028310709
Q304840,R229769,-0.028472692
Q300807,R239959,-0.029006377
Q307624,R239834,-0.029067606
Q304363,R211694,-0.02909629
Q302625,R232095,-0.02966541
Q306255,R239834,-0.029742986
Q303724,R204581,-0.029819667
Q305743,R233914,-0.029864937
Q306667,R214677,-0.029900417
Q302275,R217690,-0.029960796
Q302275,R226086,-0.030024484
Q302158,R217715,-0.030307285
Q300807,R217794,-0.030653507
Q305948,R222662,-0.03076014
Q306255,R239513,-0.03095442
Q300439,R236874,-0.03140028
Q301754,R228886,-0.031509414
Q300598,R233850,-0.031745873
Q307132,R211694,-0.031849593
Q304363,R237642,-0.031939015
Q304367,R240079,-0.031948626
Q301749,R226552,-0.03210233
Q307815,R214649,-0.032347873
Q304703,R239513,-0.032538727
Q305743,R234205,-0.032811478
Q302800,R237726,-0.033129677
Q304703,R229924,-0.033218518
Q306255,R214298,-0.033580273
Q303202,R211694,-0.033603773
Q307815,R233914,-0.03366276
Q306390,R237725,-0.033746794
Q301064,R236017,-0.033895776
Q305012,R209256,-0.03405431
Q300807,R239699,-0.03413093
Q307218,R204658,-0.03438121
Q300439,R214126,-0.034405254
Q307403,R221075,-0.034503445
Q307815,R208365,-0.034508824
Q307815,R239699,-0.034589216
Q306667,R239933,-0.034602433
Q301382,R232562,-0.03484361
Q301522,R216761,-0.034885332
Q302800,R232480,-0.03495194
Q301754,R209258,-0.035005346
